doc_id	text	is_hate
2967	www.natvan.com	0
816	Groids are scared to death of a big aggressive dog .	0
9786	well what about WWI and the Armenian Genocide which the following video says was instigated by International jewish cabal : http://www.youtube.com/watch ? v = ttjNZ ... eature = related	0
2559	I've only seen four Jews in my whole life , and those Jews were on the Silja Europa ship , going to Stockholm .	0
779	As it is , now they get free meals and watch TV all day with the tax payer footing the bill .	0
10040	Make this a problem for your parents.Get their attention where it should be : On the welfare of their child , and their own Race .	0
7158	You lost the fight already .	0
3713	Simple truth is that sadly they are preparing them for the only future that marxism offers -	0
7029	SA is a model for the World .	0
6174	It 's easy , legal , and offers imediate gratification .	0
8611	We thank you for your support !	0
8230	The Negro is generally terrified of Whites , the second you stand up to them they usally back away , thats unless they 're carrying a gun at which point the savages are rarely reluctant to use .	1
10750	Haha !	0
4372	Well you are too your family tree comes from Macedonia also the white part of it anyway .	0
8719	my mothers father is full blonde Irish. my mothers mother is English Irish Scottish . my fathers father is a German with some Scottish and my fathers mother is danish and Norwegian. making me 6ft4 blonde hair blue eyes with a big barrel chest just like my german grandfather .	0
520	No one was eating cow dung when the Whites ran it and it was called Rhodesia .	0
4715	Meta you are currently the fittest person I have ever saw on the stormfront site And thats against some pretty stiff competition as well	0
7451	I feel as though this border should be much , much further south .	0
405	Every white person from Michigan knows that our Detroit negros are the worst in America .	1
10604	How old are you ?	0
4716	drinking does ease the sorrow of a lonely life .. it 's so tempting to just go out and get drunk , and laid like i did in my youth .. but i have n't got the energy for it anymore .. more likely to lie in bed and cry until it 's time to go work .. still hoping life gets better than this : drink 2508	0
8925	I read that there are very few changes from each edition and that the sole purpose for the changes is to ruin lesson plans and thwart the used book market .	0
3001	Heard today from a colleague in work that a load of Roma Gypsies set up camp at the red cow as the government would not house them anyone see or here of this ?	0
5933	I run a small crew of Skinheads in the Vancouver / Portland area .	0
6191	It really warms me that more Klan members are coming to Stormfront .	0
10053	I wish I had her eye color ...	0
9709	Since this virus has yet to cause deaths in America we sent them back to school today .	0
10757	I know I would stick up for a white girl any day .	0
77	Unfortunately , this is the country of multiculturalism .	0
6740	Racily very little has changed .	0
10320	Maybe I 'll watch for an hour or so the few times a year I 'm travelling and stay in a hotel .	0
3474	Some Natives were driving around in a truck a few years ago .	0
6043	Hey guys please go here to help us send the Mexicans back to Mexico .	1
368	Please, enough of the Finno-Ugric fairy tale https : //www.stormfront.org/forum/t416643 / https : //www.stormfront.org/forum/t69616 / And here is a Khanty song for comparison Khanty song `` Akem ar '' ( `` Old Man 's Song '' ) - YouTube	0
145	`` Oh s * * t , '' without looking , `` I hit one of their cars and now I am going to die ! '' , but to my relief , it was merely a light pole .	0
8329	VÃ ¡ clav NeckÃ ¡ Å & Karel Å * tÄ drÃ 1\/2 & Marta KubiÅ ¡ ovÃ ¡ - Dary nesem ( 1968 ) - YouTube	0
10917	Clearly there is a need for more alternative media in this country .	0
7796	Is that a hate crime what I just said ?	0
7177	The guy if soooo annoying !	0
4027	Last week the crowd were chucking snowballs at Peter Shilton .	0
3616	Often they have rosy cheeks as well .	0
4438	I just created a new user group for all members of Stormfront with Slavic ancestry !	0
7024	Then again it 's the same people who told all students living on campus they had three hours to vacate and go home .	0
2272	They show some football and ice hockey + American garbage shows .	0
833	As the saying goes , you can take the ape out of the jungle , but you ca n't take the jungle out of the ape .	1
603	Teacher caught selling drugs at school .	0
9281	Wait on buying this and let the gun magazines test it first .	0
683	Anyone who cannot watch much of this video should AT LEAST watch the last minute and listen to what he 's saying .	0
5123	I guess you are far away , as I 've never even heard of that town listed as your location .	0
3745	Friend of mine says it 's spot the white person down London .	0
2644	I accidentally pushed some button , I do n't know which .	0
8043	Exactly.	0
9776	So , bring her along slowly and she 'll more than likely see the light .	0
6553	By their words and deeds , they declare themselves to be staunchly in favor of the genocide of our people .	1
2278	I do n't know who is the owner .	0
6047	Go to his web site and check it out and get active .	0
